orthologous_group	actual_sp_count
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	161
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	161
33208	161
33208	161
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	161
33208	160
33208	161
33208	161
33208	161
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	160
33208	161
33208	160
33208	161
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	161
33208	160
33208	161
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	161
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	161
33208	161
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	161
33208	161
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
33208	160
33208	160
33208	161
33208	161
33208	161
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	160
33208	161
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	160
33208	161
33208	160
33208	161
